date,series_id,series_name,category,area_type,value,units,source
2024-01-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,234.515,index,BLS
2024-02-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,236.218,index,BLS
2024-03-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,230.601,index,BLS
2024-04-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,221.729,index,BLS
2024-05-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,222.024,index,BLS
2024-06-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,227.478,index,BLS
2024-07-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,226.593,index,BLS
2024-08-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,224.259,index,BLS
2024-09-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,225.366,index,BLS
2024-10-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,227.463,index,BLS
2024-11-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,236.179,index,BLS
2024-12-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,242.224,index,BLS
2025-01-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,246.117,index,BLS
2025-02-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,250.38,index,BLS
2025-03-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,252.218,index,BLS
2025-04-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,256.501,index,BLS
2025-05-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,255.981,index,BLS
2025-06-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,259.734,index,BLS
2025-07-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,257.867,index,BLS
2025-08-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,255.253,index,BLS
2025-09-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,251.728,index,BLS
2025-11-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,257.731,index,BLS
2025-12-01,CUUR0000SEHF02,CPI Utility (Piped) Gas Service (CPI-U U.S. city avg NSA),energy_services,urban,268.415,index,BLS
2023-01-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.5,percent,BLS
2023-02-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.6,percent,BLS
2023-03-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.5,percent,BLS
2023-04-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.4,percent,BLS
2023-05-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.6,percent,BLS
2023-06-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.6,percent,BLS
2023-07-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.5,percent,BLS
2023-08-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.7,percent,BLS
2023-09-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.7,percent,BLS
2023-10-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.9,percent,BLS
2023-11-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.7,percent,BLS
2023-12-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.8,percent,BLS
2024-01-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.7,percent,BLS
2024-02-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.9,percent,BLS
2024-03-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.9,percent,BLS
2024-04-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.9,percent,BLS
2024-05-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,3.9,percent,BLS
2024-06-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.1,percent,BLS
2024-07-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.2,percent,BLS
2024-08-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.2,percent,BLS
2024-09-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.1,percent,BLS
2024-10-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.1,percent,BLS
2024-11-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.2,percent,BLS
2024-12-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.1,percent,BLS
2025-01-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.0,percent,BLS
2025-02-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.2,percent,BLS
2025-03-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.2,percent,BLS
2025-04-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.2,percent,BLS
2025-05-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.3,percent,BLS
2025-06-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.1,percent,BLS
2025-07-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.3,percent,BLS
2025-08-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.3,percent,BLS
2025-09-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.4,percent,BLS
2025-11-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.5,percent,BLS
2025-12-01,LNS14000000,Unemployment Rate (U-3),unemployment,national,4.4,percent,BLS
